geolocation_state,total_orders,total_sales
SP,40480,459653345.05
MG,11345,298350473.1
RJ,12337,222452758.57
RS,5351,79214661.71
PR,4912,59076605.48
SC,3558,53673707.12
BA,3248,41522386.79
ES,1989,26199115.09
MT,884,16345423.68
GO,1948,13811040.96
PE,1589,12054305.99
PA,944,10801496.33
DF,1922,8518837.03
CE,1275,8144471.35
MS,701,7643352.64
MA,714,6407097.89
AL,396,5087972.71
PB,515,4912257.63
PI,473,3330555.55
RN,472,2760888.98
SE,334,2720218.38
TO,273,2631405.59
RO,246,2445320.39
AC,119,1137105.39
AP,67,847762.78
AM,145,630832.73
RR,41,274164.85
